Wavelength_microns Throughput
2.0004663860000003 3.619724937243214e-12
2.002610509 3.0813910531395203e-12
2.004754632 2.6169000194397952e-12
2.006898754 2.1948952273720534e-12
2.009042877 1.8188812572822737e-12
2.011186999 1.5578820551728862e-12
2.013331122 1.2524175693525749e-12
2.015475245 1.1036074889053273e-12
2.017619367 1.0573421328082918e-12
2.01976349 1.1069079867617e-12
2.021907612 1.2883079655861069e-12
2.024051735 1.3142935416310006e-12
2.026195858 1.3050728855683102e-12
2.02833998 1.350196335592131e-12
2.030484103 1.5312544167024326e-12
2.032628225 1.656469557880752e-12
2.034772348 1.6177319096944323e-12
2.036916471 1.5515343181159835e-12
2.039060593 1.4258362673215233e-12
2.0412047159999998 1.4905886993729743e-12
2.043348838 1.4992503268244156e-12
2.045492961 1.4423579457399457e-12
2.0476370839999998 1.425361497577539e-12
2.049781206 1.4891049092136865e-12
2.0519253290000004 1.6490532752073414e-12
2.0540694509999997 1.8191751374600287e-12
2.056213574 1.9972344243151693e-12
2.058357697 2.2016381084770374e-12
2.060501819 2.494062974975193e-12
2.062645942 2.806381548868967e-12
2.064790064 3.037965473526191e-12
2.0669341869999998 3.3447189307181106e-12
2.06907831 3.656115508357635e-12
2.071222432 4.0496302646580546e-12
2.073366555 4.69575144906812e-12
2.075510677 5.473989781523023e-12
2.0776548 6.781540217283882e-12
2.079798923 8.489822747325963e-12
2.081943045 1.0601209630279805e-11
2.084087168 1.2949029184078521e-11
2.08623129 1.5006464704783414e-11
2.088375413 1.7093702129973898e-11
2.090519536 1.8672871010243848e-11
2.0926636579999998 1.9314174901338467e-11
2.094807781 1.9769717429618667e-11
2.0969519030000003 2.2985895950686812e-11
2.0990960260000002 2.959642830398098e-11
2.101240149 4.042628132376886e-11
2.103384271 6.009287976797989e-11
2.105528394 8.797408507628313e-11
2.107672516 1.2221524579053724e-10
2.109816639 1.6378603771622906e-10
2.1119607620000003 2.0420384062187694e-10
2.114104884 2.323221696240135e-10
2.116249007 2.4240632563774106e-10
2.118393129 2.330992402691269e-10
2.120537252 2.1588459984913585e-10
2.122681375 1.9789649427773084e-10
2.124825497 1.837269903274882e-10
2.1269696199999997 1.713155780980649e-10
2.129113742 1.6255181977833802e-10
2.1312578650000003 1.5415064704852252e-10
2.133401988 1.4826980065194967e-10
2.1355461100000004 1.4428813600435274e-10
2.137690233 1.323973711471289e-10
2.139834355 1.1602212038336823e-10
2.141978478 9.71415346731044e-11
2.144122601 7.861188283151318e-11
2.146266723 6.328468083544276e-11
2.1484108460000004 5.8135212525037734e-11
2.150554968 6.190097989566498e-11
2.152699091 6.691991431445274e-11
2.154843214 7.547579020757047e-11
2.1569873360000003 8.836546327075985e-11
2.159131459 1.0668943403623614e-10
2.161275581 1.313128120110344e-10
2.163419704 1.482842543743621e-10
2.165563827 1.5203528250749576e-10
2.167707949 1.4103635739583627e-10
2.1698520720000003 1.317861764141379e-10
2.1719961939999997 1.367728972407411e-10
2.174140317 1.421928363443439e-10
2.17628444 1.4383708475735198e-10
2.178428562 1.4007295036164153e-10
2.180572685 1.440541084454421e-10
2.182716807 1.5214286382094882e-10
2.1848609299999997 1.6274389118586562e-10
2.187005053 1.6999755131171802e-10
2.189149175 1.682633933170189e-10
2.191293298 1.7023531544061253e-10
2.1934374200000004 1.774108412911658e-10
2.195581543 1.8284738634633884e-10
2.1977256659999997 1.8260011991360425e-10
2.199869788 1.7614029998227222e-10
2.202013911 1.8646326409191217e-10
2.204158033 2.2314015420400563e-10
2.206302156 2.8642784082526234e-10
2.208446279 3.6026492928564123e-10
2.210590401 4.0744969707822926e-10
2.212734524 4.716553600800722e-10
2.2148786460000003 5.718869270305338e-10
2.217022769 7.715268944744562e-10
2.219166892 1.0434921059670058e-09
2.221311014 1.5667546512174347e-09
2.2234551369999997 2.2419161181167456e-09
2.225599259 2.809923547872403e-09
2.2277433820000003 3.4088239520635884e-09
2.229887505 3.793273644579072e-09
2.232031627 4.160581160684541e-09
2.23417575 4.564209536643168e-09
2.236319872 5.13580741296259e-09
2.238463995 5.396781519487858e-09
2.240608118 5.570709695061036e-09
2.2427522399999997 6.1139482995774135e-09
2.2448963629999996 7.299515391255831e-09
2.247040485 9.107881356788923e-09
2.249184608 1.1239063277844552e-08
2.251328731 1.409532533819241e-08
2.2534728530000003 1.6962387445307065e-08
2.2556169759999998 1.965757793093861e-08
2.257761098 2.1327078964983137e-08
2.259905221 2.3112459244148717e-08
2.2620493440000002 2.4196348823326347e-08
2.264193466 2.5513269830510062e-08
2.2663375890000004 2.6474894801979903e-08
2.2684817109999997 2.568306007217421e-08
2.270625834 2.5733852607068086e-08
2.272769957 2.8216109831000305e-08
2.274914079 3.433569518848389e-08
2.277058202 4.018673452401656e-08
2.279202324 4.45308804852105e-08
2.2813464469999998 4.4569867701135634e-08
2.28349057 4.259311050931102e-08
2.285634692 4.0226163740966874e-08
2.2877788150000002 3.756615726986207e-08
2.2899229369999996 3.3605085206237984e-08
2.29206706 3.148418952894766e-08
2.294211183 3.054015385444687e-08
2.296355305 3.0373757215957386e-08
2.298499428 3.5710583034579244e-08
2.3006435499999998 4.595148781766951e-08
2.3027876729999996 6.177694416821884e-08
2.304931796 9.080815176049448e-08
2.307075918 1.3121508386741982e-07
2.309220041 1.7963615400861402e-07
2.3113641630000004 2.4742249568667105e-07
2.3135082860000002 3.3172928854812236e-07
2.3156524089999997 4.4097484751502225e-07
2.317796531 5.912614825249712e-07
2.319940654 8.005457091129017e-07
2.322084776 1.0603166432664922e-06
2.3242288990000004 1.4044325422709975e-06
2.3263730220000003 1.7874678272575526e-06
2.328517144 2.172069685493258e-06
2.330661267 2.5529964896472397e-06
2.3328053890000002 2.916329242361777e-06
2.334949512 3.201830364014352e-06
2.337093635 3.3212009157023903e-06
2.339237757 3.215619279258485e-06
2.3413818799999997 2.9478531542057687e-06
2.343526002 2.6639333296014227e-06
2.3456701250000003 2.4411722483214318e-06
2.347814248 2.341501198726973e-06
2.34995837 2.4184027445927335e-06
2.352102493 2.608596012395748e-06
2.354246615 2.953376632026999e-06
2.356390738 3.2595586380579923e-06
2.358534861 3.4689972608280848e-06
2.3606789829999997 3.533352693276099e-06
2.362823106 3.4777314297137897e-06
2.364967228 3.3669093032035266e-06
2.367111351 3.1381318716050904e-06
2.369255474 2.9121543728360142e-06
2.3713995960000003 2.6360680601993617e-06
2.3735437189999997 2.54420579281192e-06
2.375687841 2.5296940555271567e-06
2.377831964 2.706730933590576e-06
2.379976087 3.083968498678509e-06
2.382120209 3.5766945126534317e-06
2.3842643320000003 4.13251871734179e-06
2.3864084539999997 4.511733887972944e-06
2.388552577 4.6642350106110385e-06
2.3906967 4.725349959903686e-06
2.392840822 4.747213542515603e-06
2.394984945 4.714649760094533e-06
2.397129067 4.5558487954654604e-06
2.3992731899999997 4.304909820598424e-06
2.401417313 3.9565917039565e-06
2.403561435 3.7567865695035035e-06
2.405705558 3.737134912530086e-06
2.40784968 3.8072320082087617e-06
2.409993803 3.886746990381238e-06
2.4121379259999998 3.845957496748481e-06
2.414282048 3.6580309295601376e-06
2.416426171 3.4850074960063483e-06
2.418570293 3.2109056737914055e-06
2.4207144159999996 3.1342164914752886e-06
2.422858539 3.131187852389872e-06
2.425002661 3.1987423885631253e-06
2.427146784 3.2785990440181165e-06
2.4292909060000003 3.6078045712205396e-06
2.431435029 4.085503206770567e-06
2.4335791519999996 4.54281868842086e-06
2.435723274 4.974817382205545e-06
2.4378673969999998 5.0056479593179186e-06
2.440011519 4.58838657362491e-06
2.4421556420000003 3.9736529307009815e-06
2.4442997650000002 3.4224851639582402e-06
2.446443887 2.797363634776186e-06
2.44858801 2.262897653784815e-06
2.450732132 1.8325070776547035e-06
2.452876255 1.679137065935904e-06
2.455020378 1.6746150758129758e-06
2.4571644999999998 2.1328201061268563e-06
2.459308623 2.8665556023732937e-06
2.461452745 3.665591693446772e-06
2.463596868 4.457110267693153e-06
2.465740991 5.079401031296604e-06
2.467885113 5.577608997426702e-06
2.470029236 5.683542931313262e-06
2.472173358 5.594472966678126e-06
2.474317481 5.336499142095261e-06
2.4764616040000003 4.965255959257453e-06
2.4786057259999996 4.526545632792636e-06
2.480749849 4.174105155910248e-06
2.4828939709999998 3.9230256338286215e-06
2.485038094 3.6976776176812027e-06
2.487182217 3.5773939038025475e-06
2.489326339 3.496890625736726e-06
2.491470462 3.3531179860464788e-06
2.493614584 3.059395656543939e-06
2.495758707 2.7204868913793962e-06
2.49790283 4.5507111803698915e-06
2.500046952 6.289926893749033e-06
2.5021910750000003 8.002953593748064e-06
2.5038318559999997 1.056588674540243e-05
2.505183087 1.2707426154025085e-05
2.506534319 1.48522666497237e-05
2.50788555 1.6231854116918265e-05
2.509236782 1.8687415939639365e-05
2.510588013 1.8929805255169366e-05
2.511939244 1.9060266768875464e-05
2.5132904760000003 1.960659386824517e-05
2.514641707 2.0450937832173434e-05
2.515992939 2.0667514227244686e-05
2.51734417 2.015599293890887e-05
2.5186954019999996 2.1194700697762674e-05
2.5200466329999998 2.137628789439286e-05
2.521397865 2.1241999014820357e-05
2.522749096 2.1086502155111757e-05
2.524100327 2.161388448161189e-05
2.525451559 2.0648140622979955e-05
2.52680279 2.0316365114389436e-05
2.5281540220000003 2.1475053145593558e-05
2.529505253 2.2265319028647688e-05
2.5308564849999997 2.2264131510437793e-05
2.532207716 2.267998513607062e-05
2.533558948 2.360685202479333e-05
2.534910179 2.3056991899366575e-05
2.5362614100000003 2.2619411177858575e-05
2.537612642 2.3184370960181918e-05
2.538963873 2.3611569301587763e-05
2.5403151050000004 2.4182126388015122e-05
2.5416663359999996 2.4618069822456072e-05
2.5430175680000002 2.487365838037323e-05
2.544368799 2.500925011120054e-05
2.54572003 2.540444230896647e-05
2.547071262 2.7093973429434657e-05
2.548422493 2.80712246064957e-05
2.549773725 2.7231137880988417e-05
2.551124956 2.6606335652357453e-05
2.552476188 2.664533330823457e-05
2.553827419 2.597673830759607e-05
2.5551786510000003 2.517486694639172e-05
2.556529882 2.449743650757315e-05
2.557881113 2.270419680266379e-05
2.559232345 2.1881741094605784e-05
2.560583576 2.2338378816999645e-05
2.561934808 2.21102252949457e-05
2.5632860390000003 2.198789280914267e-05
2.564637271 2.2225501112522007e-05
2.565988502 2.3318012525435722e-05
2.567339733 2.4844468926619257e-05
2.5686909649999996 2.5871071363211378e-05
2.5700421959999997 2.6500162371401206e-05
2.571393428 2.7458270810882895e-05
2.572744659 2.8619264064282398e-05
2.574095891 2.9665534133092947e-05
2.575447122 3.0837697270388044e-05
2.576798354 3.0509546829053147e-05
2.5781495850000002 2.9992397912719498e-05
2.5795008160000004 3.096761432374926e-05
2.580852048 3.15445209542306e-05
2.582203279 3.1897076525066106e-05
2.583554511 3.16432970501364e-05
2.584905742 3.155770119854263e-05
2.586256974 3.064584104955792e-05
2.587608205 3.0217213560759706e-05
2.588959437 2.970204138699783e-05
2.590310668 2.8555313267035556e-05
2.591661899 2.769870084281803e-05
2.593013131 2.585125591248207e-05
2.594364362 2.3632924534863875e-05
2.5957155939999996 2.0655156905382497e-05
2.5970668249999997 1.960126125196474e-05
2.598418057 1.8599613855878973e-05
2.599769288 1.723426447391841e-05
2.601120519 1.5694277911086822e-05
2.602471751 1.3719898736079065e-05
2.603822982 1.279484470198786e-05
2.6051742140000003 1.233787438120785e-05
2.6065254450000004 1.2845538714502188e-05
2.607876677 1.2235800819793898e-05
2.609227908 1.1502912664999005e-05
2.61057914 1.1643241859716842e-05
2.611930371 1.1315529220118487e-05
2.613281602 1.0761988836928292e-05
2.614632834 1.0351341705290787e-05
2.615984065 1.0522069165435161e-05
2.617335297 1.003315601096599e-05
2.618686528 1.1048104289644866e-05
2.62003776 1.1977514929768185e-05
2.621388991 1.1868495283493646e-05
2.622740222 1.2188879948370025e-05
2.6240914539999998 1.360591713876349e-05
2.625442685 1.4486895932183001e-05
2.626793917 1.4602360283604225e-05
2.628145148 1.5261890079991308e-05
2.62949638 1.5029616933193896e-05
2.630847611 1.4775510979485293e-05
2.6321988430000003 1.443616156120138e-05
2.6335500740000004 1.4071768464015054e-05
2.634901305 1.3311882647072339e-05
2.636252537 1.2901837455724048e-05
2.637603768 1.2923857527629446e-05
2.6389549999999997 1.2788695154701943e-05
2.640306231 1.2196374479146805e-05
2.641657463 1.1569876269200012e-05
2.643008694 1.1339682536321982e-05
2.6443599250000003 1.112386457504071e-05
2.645711157 1.0968608211062049e-05
2.6470623879999997 1.0753075303447389e-05
2.64841362 1.038797700623749e-05
2.649764851 1.0232087949732742e-05
2.651116083 9.96320490034145e-06
2.652467314 9.712049047755223e-06
2.653818546 9.462172004237727e-06
2.6551697770000002 9.247046231386811e-06
2.6565210080000004 8.130161255822475e-06
2.65787224 7.677353108027133e-06
2.659223471 8.67194610341514e-06
2.6605747030000004 8.897481209734557e-06
2.6619259339999997 9.097692755240875e-06
2.663277166 9.853678603531753e-06
2.664628397 1.0536080088398355e-05
2.6659796289999997 1.0960194446208499e-05
2.66733086 1.2144926823827396e-05
2.668682091 1.2740985845757835e-05
2.670033323 1.1166295439401307e-05
2.6713845540000003 1.0119875922177685e-05
2.672735786 1.0034295679850042e-05
2.6740870169999997 9.093465762545042e-06
2.675438249 7.842015669312521e-06
2.67678948 6.767573423004274e-06
2.678140711 6.052085075647578e-06
2.679491943 4.869642613134557e-06
2.680843174 4.4391036426980685e-06
2.6821944060000003 4.213393696935561e-06
2.6835456370000004 3.3751358218150904e-06
2.684896869 3.210832057988322e-06
2.6862481 3.501226137785756e-06
2.6875993319999996 3.852405808748333e-06
2.6889505629999997 3.583687879075978e-06
2.690301794 3.2874204319312625e-06
2.691653026 3.140996559556886e-06
2.693004257 3.512690879574994e-06
2.694355489 3.2373546704460927e-06
2.69570672 2.7003141133113016e-06
2.697057952 2.590619083076407e-06
2.6984091830000003 2.282141317975898e-06
2.699760414 2.185350781810811e-06
2.7011116459999998 2.6709594246676573e-06
2.702462877 2.650336771654669e-06
2.703814109 2.005988160140139e-06
2.70516534 1.9105414267080847e-06
2.706516572 1.8917131725513026e-06
2.707867803 1.427183268486283e-06
2.7092190350000003 1.2042747360069227e-06
2.7105702660000004 8.874080896074172e-07
2.7119214969999996 4.2886702674630624e-07
2.713272729 4.2884869107051125e-07
2.71462396 4.2519709025423694e-07
2.7159751919999997 1.0082394100826433e-06
2.717326423 9.99775089722408e-07
2.718677655 1.1129358632139592e-06
2.720028886 1.1119562900581123e-06
2.7213801170000003 1.1440135712630084e-06
2.722731349 1.1464071307921568e-06
2.7240825799999997 1.145467692459043e-06
2.7254338120000003 9.692810412730001e-07
2.726785043 2.516264221575757e-07
2.7281362749999998 2.511486583117979e-07
2.729487506 1.435181799462119e-07
2.730838738 3.001302429249729e-07
2.732189969 6.308159455856892e-07
2.7335412000000003 6.0700574514843e-07
2.734892432 6.224654923499946e-07
2.736243663 6.226442960736645e-07
2.737594895 6.998162372583316e-07
2.7389461259999996 9.348312717985298e-07
2.740297358 9.287574086180872e-07
2.741648589 1.0499708271725557e-06
2.7429998209999997 6.898421440906335e-07
2.744351052 6.857822681441534e-07
2.745702283 6.701604368820465e-07
2.747053515 8.749573838994304e-07
2.7484047460000003 8.728214160197097e-07
2.749755978 1.1664111204151394e-06
2.7511072089999997 1.6237824153227e-06
2.7524584410000004 1.4809509794245651e-06
2.753809672 1.4753865872974825e-06
2.755160903 1.6226872100425015e-06
2.756512135 1.9209434127967844e-06
2.757863366 1.9232564715756873e-06
2.7592145980000002 2.091902197570241e-06
2.760565829 1.6391034243075367e-06
2.761917061 1.6188360466001751e-06
2.7632682920000002 2.3480167908697863e-06
2.764619524 2.75761966127352e-06
2.7659707549999997 2.943706764017941e-06
2.767321986 3.2079864415691666e-06
2.768673218 3.4933060452268217e-06
2.770024449 3.75165411840869e-06
