Wavelength_microns Throughput
1.5985000000000003 0.0
1.5995000000000001 0.0
1.6005 5.3080703656375e-07
1.6015 7.734842866171542e-07
1.6025 4.5943260799008417e-07
1.6035 1.0031881079886487e-06
1.6045 1.9808128982404385e-06
1.6055 3.832193003891014e-08
1.6065 9.324206133233662e-07
1.6075 1.3568655198450503e-06
1.6085 2.983764786373152e-07
1.6095 1.340861215482558e-06
1.6105 1.3166254441802185e-06
1.6115 1.0594692906741971e-06
1.6125 2.8602391272938183e-06
1.6135 1.223557522133335e-06
1.6145 2.17204432684355e-06
1.6155 1.2508209670402386e-06
1.6165 2.509087127469573e-06
1.6175 2.517883345190388e-06
1.6185 2.550412265295839e-06
1.6195 1.1283485851373574e-06
1.6205 2.90309287957577e-06
1.6215 1.4100794446829985e-06
1.6225 3.1768564841801556e-06
1.6235 3.974163767148175e-06
1.6245 3.748543894465477e-06
1.6255 5.41311930740891e-06
1.6265 5.32016085346799e-06
1.6275 4.1333805396863516e-06
1.6285 6.418062576946036e-06
1.6295 7.958846577083767e-06
1.6305 8.116244831734601e-06
1.6315 8.80772148538425e-06
1.6325 7.64694239935112e-06
1.6335 9.97992565001309e-06
1.6345 9.157005216971475e-06
1.6355 1.1623137013189248e-05
1.6365 1.1992893368151923e-05
1.6375 1.3003045039372707e-05
1.6385 1.4849017445952616e-05
1.6395 1.5885908963355875e-05
1.6405 1.4064752880209996e-05
1.6415 1.7911286223551264e-05
1.6425 1.773863769870117e-05
1.6435 2.040435901609696e-05
1.6445 2.1478097946072297e-05
1.6455 2.4081454244662882e-05
1.6465 2.5212677807101873e-05
1.6475 2.6087067919998974e-05
1.6485 2.6166930991208825e-05
1.6495 2.863297701811739e-05
1.6505 2.963303139079423e-05
1.6515 3.2388628052160336e-05
1.6525 3.490448317391844e-05
1.6535 3.988191925243804e-05
1.6545 4.330204429565214e-05
1.6555 4.254424222896838e-05
1.6565 4.7150880464936074e-05
1.6575 5.5182981382965955e-05
1.6585 5.9543652785271315e-05
1.6595 6.551248750954401e-05
1.6605 7.465702020527277e-05
1.6615 8.321588270488768e-05
1.6625 9.433113564595972e-05
1.6635 0.00010789606447349046
1.6645 0.0001226727088866346
1.6655 0.00014241756589582625
1.6665 0.00016191216274648936
1.6675 0.0001921732830009468
1.6685 0.00022044224941643846
1.6695 0.00025360475241121124
1.6705 0.0002934141352036312
1.6715 0.0003354903357402815
1.6725 0.00038370781749864815
1.6735 0.00043614328392016727
1.6745 0.000502484124857384
1.6755 0.0005770757163375749
1.6765 0.0006551417006892964
1.6775 0.0007374852374438966
1.6785 0.0008107916204261843
1.6795 0.0009245568860085467
1.6805 0.001037258935911964
1.6815 0.0011631599829722132
1.6825 0.0012990158325505666
1.6835 0.0014362257564517478
1.6845 0.0015982205846294204
1.6855 0.0017520073874509755
1.6865 0.0019610400044849405
1.6875 0.002154145517933609
1.6885 0.0023788338009576274
1.6895 0.002701926611695652
1.6905 0.0029683864652334385
1.6915 0.003351921274013575
1.6925 0.0037375017256402873
1.6935 0.004253508979507987
1.6945 0.004890975749444916
1.6955 0.005485331712407588
1.6965 0.006398711490083256
1.6975 0.007658411607767126
1.6985 0.009059600299486218
1.6995 0.010988278129445105
1.7005 0.012824636231857546
1.7015 0.015584284267306474
1.7025 0.018961313300776068
1.7035 0.02252326256220214
1.7045 0.025363823687634006
1.7055 0.027868965658778364
1.7065 0.03102334897278346
1.7075 0.03411492498750552
1.7085 0.03847239540439141
1.7095 0.044132747567079134
