Wavelength_microns Throughput
2.0004663860000003 2.044256658295793e-12
2.002074478 1.1828943148126196e-12
2.00368257 7.953467782865319e-13
2.005290662 4.0546676606024694e-13
2.006898754 3.758371118989586e-13
2.008506846 3.6673591861892325e-13
2.010114938 4.0333941799835757e-13
2.01172303 4.985543433227566e-13
2.013331122 5.504757687460823e-13
2.014939214 5.497358830773538e-13
2.016547306 3.8341958364456075e-13
2.018155398 4.003118839020795e-13
2.01976349 6.103900907990157e-13
2.021371582 8.935682540141002e-13
2.022979674 8.261431942145188e-13
2.0245877660000002 5.389803036724343e-13
2.026195858 3.5401967874708653e-13
2.027803949 3.6709523133726785e-13
2.029412041 6.146116162610171e-13
2.031020133 5.970195107585644e-13
2.032628225 4.4403829598161805e-13
2.034236317 5.211619240731055e-13
2.035844409 6.738810558106413e-13
2.037452501 8.78936930247431e-13
2.039060593 8.188814567707576e-13
2.040668685 7.792818580244894e-13
2.042276777 6.867610294426139e-13
2.0438848689999998 5.041606278943866e-13
2.045492961 5.365828146037226e-13
2.047101053 6.809391352539713e-13
2.0487091449999997 7.848246689810662e-13
2.0503172370000002 8.623975823824493e-13
2.0519253290000004 6.005027193983715e-13
2.053533421 5.096897491083331e-13
2.055141513 5.96663662968637e-13
2.056749605 9.80575903160518e-13
2.058357697 1.7433777371298927e-12
2.059965788 2.259361431778544e-12
2.06157388 2.665696506723305e-12
2.0631819719999998 2.777121630505371e-12
2.064790064 3.0527849869033765e-12
2.066398156 3.3793920857627355e-12
2.068006248 3.51291080496147e-12
2.06961434 3.855063029761447e-12
2.071222432 4.427170976775561e-12
2.072830524 4.623444810694124e-12
2.074438616 4.374648198599365e-12
2.076046708 4.120818020489914e-12
2.0776548 4.440796811172866e-12
2.079262892 4.030671872750669e-12
2.080870984 3.712819625898142e-12
2.0824790760000003 3.3511815298009053e-12
2.084087168 3.2710297862219683e-12
2.08569526 4.949318661927463e-12
2.0873033519999997 8.088233490708333e-12
2.088911444 1.1385354982620421e-11
2.090519536 1.6264629234359507e-11
2.092127627 1.5748093048014027e-11
2.0937357189999997 1.5368640997988037e-11
2.0953438110000002 1.338427477259143e-11
2.0969519030000003 1.144166747749006e-11
2.098559995 1.2371519946727664e-11
2.100168087 1.5101454930119505e-11
2.101776179 1.1120428064540051e-11
2.103384271 7.525254692783487e-12
2.104992363 1.7063846919495684e-12
2.1066004549999997 1.986473739787305e-13
2.1082085470000003 2.0714711501521967e-13
2.109816639 4.326673157018788e-12
2.111424731 5.3933064899531696e-11
2.113032823 7.45450730113348e-11
2.114640915 9.41643050336423e-11
2.116249007 7.909824199774e-11
2.1178570989999996 6.478874573685965e-11
2.1194651909999997 6.895327849716465e-11
2.1210732830000003 9.430413199787811e-11
2.122681375 8.339313088072227e-11
2.124289466 5.967232617903852e-11
2.125897558 7.601364321871947e-12
2.1275056500000002 4.681425179258881e-13
2.129113742 1.4750208375143163e-13
2.130721834 1.4326836651591615e-13
2.1323299259999997 1.3908513120318075e-13
2.133938018 1.3512617454015363e-13
2.1355461100000004 1.7517075465429997e-13
2.137154202 2.1111019431894012e-12
2.138762294 3.2541307039979445e-11
2.140370386 5.1373784033348645e-11
2.141978478 8.184130274344789e-11
2.14358657 9.137723351286339e-11
2.1451946619999998 1.0066166832524824e-10
2.146802754 9.698259117706094e-11
2.1484108460000004 8.71045479972628e-11
2.150018938 8.367205452782885e-11
2.15162703 8.184152246090242e-11
2.153235122 7.994716771562045e-11
2.154843214 6.519065427296379e-11
2.156451305 5.5601758745753e-11
2.158059397 3.6024032887143996e-12
2.159667489 5.821583155521782e-12
2.161275581 2.0666435893861973e-11
2.1628836729999996 3.726224459990274e-11
2.164491765 5.302951333398658e-11
2.1660998570000003 5.5145304762701284e-11
2.167707949 6.401137459706164e-11
2.169316041 4.474742353508822e-11
2.170924133 7.645441802311677e-11
2.172532225 6.672120902989646e-11
2.174140317 7.286878401847615e-11
2.1757484089999997 5.70800329364858e-11
2.177356501 3.893878248293849e-11
2.1789645930000003 2.4540739487650087e-11
2.180572685 1.6966805539825814e-11
2.182180777 2.3780349726951447e-11
2.183788869 2.8526721489294973e-11
2.185396961 3.504775741677302e-11
2.187005053 2.746196562975863e-11
2.1886131449999997 3.350636456938313e-11
2.1902212359999997 4.1456468632587564e-11
2.191829328 4.9137135043889394e-11
2.1934374200000004 6.111739432926741e-11
2.195045512 6.644440157730505e-11
2.196653604 8.838300085891585e-11
2.198261696 8.209651474295227e-11
2.199869788 8.758679661637753e-11
2.20147788 2.679715713857028e-11
2.203085972 2.6359189703162115e-12
2.204694064 4.797031973591091e-13
2.206302156 5.294997659889276e-13
2.207910248 5.881419831793073e-13
2.2095183400000002 8.011212382637017e-12
2.211126432 1.433062461930731e-10
2.212734524 6.217965791004564e-10
2.2143426159999997 8.92271822820989e-10
2.215950708 1.1773240994685781e-09
2.2175588 1.1299137330223237e-09
2.219166892 1.1370089016846925e-09
2.220774984 5.842031715296201e-10
2.222383075 5.174332063324569e-10
2.2239911670000003 4.915398694189349e-10
2.225599259 5.001733940567405e-10
2.227207351 1.3118413945258522e-09
2.228815443 1.7357426077759834e-09
2.230423535 2.4945034088162257e-09
2.232031627 2.081756330131984e-09
2.2336397189999997 1.6745593285805475e-09
2.2352478110000003 6.033598726292098e-10
2.236855903 6.818449500815428e-11
2.238463995 3.039250409085643e-10
2.240072087 8.32037823108779e-10
2.241680179 2.227543607764907e-09
2.243288271 4.234132609484086e-09
2.2448963629999996 5.242984780439386e-09
2.2465044549999997 6.154705891347992e-09
2.2481125470000003 5.097260150239626e-09
2.249720639 4.659846460282177e-09
